,station_train_code,train_no,train_type,train_code,from_station,from_station_name,to_station,to_station_name,from_station_telecode,to_station_telecode
7794,6063(宝鸡-广元),41000060630E,O,6063,宝鸡,宝鸡,广元,广元,BJY,GYW
7795,6064(广元-宝鸡),760000606404,O,6064,广元,广元,宝鸡,宝鸡,GYW,BJY
7796,6065(安康-达州),43000060650L,O,6065,安康,安康,达州,达州,AKY,RXW
7797,6066(达州-安康),77000060660B,O,6066,达州,达州,安康,安康,RXW,AKY
7798,6071(平凉-宝鸡),870000607404,O,6071,平凉,平凉,宝鸡,宝鸡,PIJ,BJY
7799,6072(宝鸡-平凉),410000607209,O,6072,宝鸡,宝鸡,平凉,平凉,BJY,PIJ
7800,6073(宝鸡-平凉),410000607209,O,6073,宝鸡,宝鸡,平凉,平凉,BJY,PIJ
7801,6074(平凉-宝鸡),870000607404,O,6074,平凉,平凉,宝鸡,宝鸡,PIJ,BJY
7802,6081(贵阳-威舍),780000608140,O,6081,贵阳,贵阳,威舍,威舍,GIW,WSM
7803,6082(威舍-贵阳),800000608314,O,6082,威舍,威舍,贵阳,贵阳,WSM,GIW
7804,6083(威舍-贵阳),800000608314,O,6083,威舍,威舍,贵阳,贵阳,WSM,GIW
7805,6084(贵阳-威舍),780000608140,O,6084,贵阳,贵阳,威舍,威舍,GIW,WSM
7806,6087(张家口南-大同),24000060870F,O,6087,张家口南,张家口南,大同,大同,ZMP,DTV
7807,6088(大同-张家口南),280000608803,O,6088,大同,大同,张家口南,张家口南,DTV,ZMP
7808,6161(攀枝花-昆明),76000061610Y,O,6161,攀枝花,攀枝花,昆明,昆明,PRW,KMM
7809,6162(昆明-攀枝花),80000061621C,O,6162,昆明,昆明,攀枝花,攀枝花,KMM,PRW
7810,6215(桦南-佳木斯),02000062150C,O,6215,桦南,桦南,佳木斯,佳木斯,HNB,JMB
7811,6216(佳木斯-桦南),02000062160A,O,6216,佳木斯,佳木斯,桦南,桦南,JMB,HNB
7812,6223(牡丹江-东方红),03000062230W,O,6223,牡丹江,牡丹江,东方红,东方红,MDB,DFB
7813,6224(东方红-牡丹江),03000062240O,O,6224,东方红,东方红,牡丹江,牡丹江,DFB,MDB
7814,6225(哈尔滨东-帽儿山),010000622530,O,6225,哈尔滨东,哈尔滨东,帽儿山,帽儿山,VBB,MRB
7815,6226(帽儿山-香坊),010000622605,O,6226,帽儿山,帽儿山,香坊,香坊,MRB,XFB
7816,6231(五常-哈尔滨东),010000623140,O,6231,五常,五常,哈尔滨东,哈尔滨东,WCB,VBB
7817,6232(香坊-五常),010000623202,O,6232,香坊,香坊,五常,五常,XFB,WCB
7818,6233(五常-哈尔滨东),010000623320,O,6233,五常,五常,哈尔滨东,哈尔滨东,WCB,VBB
7819,6234(哈尔滨东-五常),0100006234B0,O,6234,哈尔滨东,哈尔滨东,五常,五常,VBB,WCB
7820,6237(塔尔气-海拉尔),05000062400E,O,6237,塔尔气,塔尔气,海拉尔,海拉尔,TVX,HRX
7821,6238(海拉尔-塔尔气),05000062380F,O,6238,海拉尔,海拉尔,塔尔气,塔尔气,HRX,TVX
7822,6239(海拉尔-塔尔气),05000062380F,O,6239,海拉尔,海拉尔,塔尔气,塔尔气,HRX,TVX
7823,6240(塔尔气-海拉尔),05000062400E,O,6240,塔尔气,塔尔气,海拉尔,海拉尔,TVX,HRX
7824,6245(齐齐哈尔-古莲),040000624511,O,6245,齐齐哈尔,齐齐哈尔,古莲,古莲,QHX,GRX
7825,6246(古莲-齐齐哈尔),04000062460V,O,6246,古莲,古莲,齐齐哈尔,齐齐哈尔,GRX,QHX
7826,6251(牡丹江-鸡西),03000062510C,O,6251,牡丹江,牡丹江,鸡西,鸡西,MDB,JXB
7827,6252(鸡西-牡丹江),03000062520B,O,6252,鸡西,鸡西,牡丹江,牡丹江,JXB,MDB
7828,6253(哈尔滨东-绥化),010000625330,O,6253,哈尔滨东,哈尔滨东,绥化,绥化,VBB,SHB
7829,6254(绥化-哈尔滨东),01000062540H,O,6254,绥化,绥化,哈尔滨东,哈尔滨东,SHB,VBB
7830,6259(齐齐哈尔-富拉尔基),04000062590B,O,6259,齐齐哈尔,齐齐哈尔,富拉尔基,富拉尔基,QHX,FRX
7831,6260(富拉尔基-三间房),040000626007,O,6260,富拉尔基,富拉尔基,三间房,三间房,FRX,SFX
7832,6261(三间房-富拉尔基),040000626107,O,6261,三间房,三间房,富拉尔基,富拉尔基,SFX,FRX
7833,6262(富拉尔基-三间房),040000626206,O,6262,富拉尔基,富拉尔基,三间房,三间房,FRX,SFX
7834,6263(三间房-富拉尔基),040000626305,O,6263,三间房,三间房,富拉尔基,富拉尔基,SFX,FRX
7835,6264(富拉尔基-汤池),040000626400,O,6264,富拉尔基,富拉尔基,汤池,汤池,FRX,TCX
7836,6265(汤池-富拉尔基),040000626510,O,6265,汤池,汤池,富拉尔基,富拉尔基,TCX,FRX
7837,6266(富拉尔基-齐齐哈尔),040000626609,O,6266,富拉尔基,富拉尔基,齐齐哈尔,齐齐哈尔,FRX,QHX
7838,6267(莫尔道嘎-海拉尔),05000062700H,O,6267,莫尔道嘎,莫尔道嘎,海拉尔,海拉尔,MRX,HRX
